Phase,Workstream,Task,Description,Deliverable,OwnerRole,Priority,Dependencies,AcceptanceCriteria
Phase 0,Playbook,Engineering Playbook erstellen,"Zentrales, verbindliches Regelwerk für Architektur, Workflow, Gates, Releases, Observability.",docs/engineering-playbook.md,Tech Lead,P0,-,"Playbook vorhanden, kurz & verbindlich; im Team/Projekt akzeptiert."
Phase 0,Playbook,Architektur-Overview dokumentieren,High-level Diagramme & Modulgrenzen festhalten.,docs/architecture/overview.md + diagrams,Architect,P0,Engineering Playbook,Diagramme aktuell; Module/Boundaries klar.
Phase 0,Playbook,ADR System aufsetzen,Entscheidungen als ADRs dokumentieren (Template + Index).,docs/decisions/ + ADR template,Architect,P0,Engineering Playbook,ADR Template vorhanden; erste ADR exemplarisch.
Phase 0,Workflow,PR Template einführen,"PRs standardisieren: Contracts, Tests, Observability, Rollout, DoD.",.github/pull_request_template.md,Tech Lead,P0,Engineering Playbook,PR Template wird automatisch angewandt; Team nutzt es.
Phase 0,Workflow,Issue/RFC Templates einführen,Ideen/Änderungen strukturiert erfassen (DoR/Scope/Risiken).,.github/ISSUE_TEMPLATE/*,Product/Tech,P1,Engineering Playbook,Templates in Nutzung; bessere Spezifikationen.
Phase 0,Ownership,CODEOWNERS Entwurf,Ownership je Domain/Contract/Infra definieren.,CODEOWNERS,Tech Lead,P0,Repo-Struktur,CODEOWNERS greift; Reviews werden angefordert.
Phase 1,Architecture,Repo-Struktur finalisieren,Apps/Packages/Contracts/Registries/Infra/Scripts/Docs konsistent strukturieren.,Top-level folder structure,Architect,P0,Phase 0,Alle Teams/Projekte nutzen gleiche Struktur.
Phase 1,Architecture,Modulgrenzen definieren,"Domain-Module festlegen, Public API Regeln (public.ts/index.ts).",Module boundary spec,Architect,P0,Repo-Struktur,Import-Regeln dokumentiert; Module eindeutig.
Phase 1,Tooling,Boundary Linting einführen,Automatische Checks gegen Cross-module Imports und verbotene Abhängigkeiten.,eslint/dependency rules,DevOps/Tooling,P0,Modulgrenzen,CI blockt Boundary-Verstöße.
Phase 1,Docs,Modul-README Standard,"Jedes Modul bekommt README: Zweck, Public API, Beispiele, Testplan.",packages/*/README.md,Module Owner,P1,Modulgrenzen,Neue Module folgen Standard; Reviews prüfen es.
Phase 2,Contracts,Contracts-Verzeichnis aufsetzen,OpenAPI/JSON Schema/Zod strukturieren inkl. Versionierung und Owners.,contracts/*,Architect,P0,Phase 1,Contracts versioniert; Breaking changes geregelt.
Phase 2,Contracts,Schema Validation Pipeline,Contracts werden in CI validiert (lint/compile).,CI job: validate-contracts,DevOps,P0,Contracts-Verzeichnis,CI failt bei invalid schema.
Phase 2,SSOT,Registries definieren,Manifest/Registry Dateien für Routing/Features/Pipelines festlegen.,registries/*,Architect,P0,Phase 1,SSOT eindeutig; keine Doppelpflege.
Phase 2,Generators,Generatoren implementieren,"Aus SSOT/Contracts werden Typen, Validatoren, Doku, Tests generiert.",scripts/generate-* + generated outputs,Tooling,P0,Registries + Contracts,Generated outputs reproduzierbar; DO NOT EDIT Header.
Phase 2,Testing,Golden Tests für Generatoren,Snapshot/Fixture Tests für generierte Artefakte.,__tests__/golden/*,Tooling,P0,Generatoren,Output-Diffs reviewbar; unbewusste Änderungen werden geblockt.
Phase 2,Docs,Contract Changelog Standard,Changelog pro Contract + Deprecation Policy.,contracts/**/changelog.md,Architect,P1,Contracts,Breaking changes nachvollziehbar; Deprecations dokumentiert.
